D6926 齐齐哈尔 安达 哈尔滨 http://www.99118.com/huoche/zhan/anda.htm
G7425 合肥南 安庆 安庆 http://www.99118.com/huoche/zhan/anqing2.htm
C511 长春 白城 白城 http://www.99118.com/huoche/zhan/baicheng.htm
C5832 贵安 白云西 贵安 http://www.99118.com/huoche/zhan/BaiYunXi.htm
C344 昆明 保山 保山 http://www.99118.com/huoche/zhan/BaoShan.htm
C345 昆明 保山 保山 http://www.99118.com/huoche/zhan/BaoShan.htm
G1071 北京南 北京南 青岛 http://www.99118.com/huoche/zhan/beijingnan.htm
C5949 毕节 毕节 贵阳北 http://www.99118.com/huoche/zhan/bijie.htm
D2363 南宁东 宾阳 广州南 http://www.99118.com/huoche/zhan/binyang.htm
D3614 广州南 宾阳 南宁东 http://www.99118.com/huoche/zhan/binyang.htm
C7463 海口东 博鳌 海口东 http://www.99118.com/huoche/zhan/boao.htm
C7464 海口东 博鳌 海口东 http://www.99118.com/huoche/zhan/boao.htm
C511 长春 查干湖 白城 http://www.99118.com/huoche/zhan/chaganhu.htm
C511 长春 长春 白城 http://www.99118.com/huoche/zhan/changchun.htm
C7102 深圳 常平 广州东 http://www.99118.com/huoche/zhan/changping2.htm
K466 宁波 巢湖 西安 http://www.99118.com/huoche/zhan/chaohu.htm
K467 宁波 巢湖 西安 http://www.99118.com/huoche/zhan/chaohu.htm
G7425 合肥南 巢湖东 安庆 http://www.99118.com/huoche/zhan/chaohudong.htm
G3518 北京朝阳 承德南 大连北 http://www.99118.com/huoche/zhan/chengdenan.htm
G3519 北京朝阳 承德南 大连北 http://www.99118.com/huoche/zhan/chengdenan.htm
C6045 成都东 成都南 成都东 http://www.99118.com/huoche/zhan/chengdunan.htm
C6046 成都东 成都南 成都东 http://www.99118.com/huoche/zhan/chengdunan.htm
G7425 合肥南 池州 安庆 http://www.99118.com/huoche/zhan/chizhou.htm
C344 昆明 楚雄 保山 http://www.99118.com/huoche/zhan/chuxiong.htm
C345 昆明 楚雄 保山 http://www.99118.com/huoche/zhan/chuxiong.htm
C511 长春 大安 白城 http://www.99118.com/huoche/zhan/daan.htm
D2873 威海 大港南 安庆 http://www.99118.com/huoche/zhan/DaGangNan.htm
D2876 威海 大港南 安庆 http://www.99118.com/huoche/zhan/DaGangNan.htm
C344 昆明 大理 保山 http://www.99118.com/huoche/zhan/dali2.htm
C345 昆明 大理 保山 http://www.99118.com/huoche/zhan/dali2.htm
K466 宁波 丹凤 西安 http://www.99118.com/huoche/zhan/danfeng.htm
K467 宁波 丹凤 西安 http://www.99118.com/huoche/zhan/danfeng.htm
G1907 银川 砀山南 济南西 http://www.99118.com/huoche/zhan/dangshannan.htm
G1910 银川 砀山南 济南西 http://www.99118.com/huoche/zhan/dangshannan.htm
G7248 上海 丹阳 合肥南 http://www.99118.com/huoche/zhan/danyang.htm
G7249 上海 丹阳 合肥南 http://www.99118.com/huoche/zhan/danyang.htm
K938 石家庄 德惠 牡丹江 http://www.99118.com/huoche/zhan/dehui.htm
K939 石家庄 德惠 牡丹江 http://www.99118.com/huoche/zhan/dehui.htm
G7453 南京南 德清 黄山北 http://www.99118.com/huoche/zhan/deqing.htm
K605 西安 德清西 杭州 http://www.99118.com/huoche/zhan/deqingxi.htm
K608 西安 德清西 杭州 http://www.99118.com/huoche/zhan/deqingxi.htm
K606 杭州 德清西 西安 http://www.99118.com/huoche/zhan/deqingxi.htm
K607 杭州 德清西 西安 http://www.99118.com/huoche/zhan/deqingxi.htm
K466 宁波 德清西 西安 http://www.99118.com/huoche/zhan/deqingxi.htm
K467 宁波 德清西 西安 http://www.99118.com/huoche/zhan/deqingxi.htm
G1071 北京南 德州东 青岛 http://www.99118.com/huoche/zhan/dezhoudong.htm
D2737 西安北 定西北 西宁 http://www.99118.com/huoche/zhan/dingxibei.htm
T212 深圳东 东莞东 上海南 http://www.99118.com/huoche/zhan/dongguandong.htm
Exception cha_status: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
G6956 青岛北 董家口 青岛北 http://www.99118.com/huoche/zhan/dongjiakou.htm
G6957 青岛北 董家口 青岛北 http://www.99118.com/huoche/zhan/dongjiakou.htm
D6927 哈尔滨 杜尔伯特 齐齐哈尔 http://www.99118.com/huoche/zhan/duerbote.htm
D362 成都东 恩施 汉口 http://www.99118.com/huoche/zhan/enshi.htm
D1920 成都东 阿房宫 西安北 http://www.99118.com/huoche/zhan/epanggong.htm
D3266 福州 枫林 武汉 http://www.99118.com/huoche/zhan/fenglin.htm
D3614 广州南 佛山西 南宁东 http://www.99118.com/huoche/zhan/foshanxi.htm
D2363 南宁东 佛山西 广州南 http://www.99118.com/huoche/zhan/foshanxi.htm
G7524 衢州 阜宁东 连云港 http://www.99118.com/huoche/zhan/funingdong.htm
D385 东莞南 福清 上海虹桥 http://www.99118.com/huoche/zhan/fuqing.htm
D388 东莞南 福清 上海虹桥 http://www.99118.com/huoche/zhan/fuqing.htm
6056 包头 福生庄 大同 http://www.99118.com/huoche/zhan/FuShengZhuang.htm
K608 西安 阜阳 杭州 http://www.99118.com/huoche/zhan/fuyang.htm
K605 西安 阜阳 杭州 http://www.99118.com/huoche/zhan/fuyang.htm
K978 西宁 扶余 齐齐哈尔 http://www.99118.com/huoche/zhan/fuyu.htm
K979 西宁 扶余 齐齐哈尔 http://www.99118.com/huoche/zhan/fuyu.htm
D3148 上海虹桥 福州南 赣州 http://www.99118.com/huoche/zhan/fuzhounan.htm
D3145 上海虹桥 福州南 赣州 http://www.99118.com/huoche/zhan/fuzhounan.htm
K901 厦门北 赣州 太原 http://www.99118.com/huoche/zhan/ganzhou.htm
K904 厦门北 赣州 太原 http://www.99118.com/huoche/zhan/ganzhou.htm
T212 深圳东 赣州 上海南 http://www.99118.com/huoche/zhan/ganzhou.htm
G1071 北京南 高密 青岛 http://www.99118.com/huoche/zhan/gaomi.htm
K605 西安 巩义 杭州 http://www.99118.com/huoche/zhan/gongyi.htm
K608 西安 巩义 杭州 http://www.99118.com/huoche/zhan/gongyi.htm
K605 西安 广德 杭州 http://www.99118.com/huoche/zhan/guangde.htm
K608 西安 广德 杭州 http://www.99118.com/huoche/zhan/guangde.htm
C7102 深圳 广州东 广州东 http://www.99118.com/huoche/zhan/guangzhoudong.htm
D3614 广州南 广州南 南宁东 http://www.99118.com/huoche/zhan/guangzhounan.htm
C7644 珠海 广州南 广州南 http://www.99118.com/huoche/zhan/guangzhounan.htm
D2363 南宁东 广州南 广州南 http://www.99118.com/huoche/zhan/guangzhounan.htm
D2815 成都东 桂林西 广州南 http://www.99118.com/huoche/zhan/guilinxi.htm
D2363 南宁东 桂平 广州南 http://www.99118.com/huoche/zhan/guiping.htm
D3614 广州南 桂平 南宁东 http://www.99118.com/huoche/zhan/guiping.htm
C5949 毕节 贵阳北 贵阳北 http://www.99118.com/huoche/zhan/guiyangbei.htm
Exception cha_status: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
T212 深圳东 海宁 上海南 http://www.99118.com/huoche/zhan/haining.htm
G1577 北京西 邯郸东 阜阳西 http://www.99118.com/huoche/zhan/handandong.htm
K605 西安 杭州 杭州 http://www.99118.com/huoche/zhan/hangzhou.htm
K608 西安 杭州 杭州 http://www.99118.com/huoche/zhan/hangzhou.htm
K466 宁波 杭州 西安 http://www.99118.com/huoche/zhan/hangzhou.htm
K467 宁波 杭州 西安 http://www.99118.com/huoche/zhan/hangzhou.htm
T212 深圳东 杭州南 上海南 http://www.99118.com/huoche/zhan/hangzhounan.htm
K608 西安 合肥 杭州 http://www.99118.com/huoche/zhan/hefei.htm
K605 西安 合肥 杭州 http://www.99118.com/huoche/zhan/hefei.htm
K466 宁波 合肥 西安 http://www.99118.com/huoche/zhan/hefei.htm
K467 宁波 合肥 西安 http://www.99118.com/huoche/zhan/hefei.htm
G1978 杭州西 合肥南 兰州西 http://www.99118.com/huoche/zhan/hefeinan.htm
G1979 杭州西 合肥南 兰州西 http://www.99118.com/huoche/zhan/hefeinan.htm
G7425 合肥南 合肥南 安庆 http://www.99118.com/huoche/zhan/hefeinan.htm
G7248 上海 合肥南 合肥南 http://www.99118.com/huoche/zhan/hefeinan.htm
G7249 上海 合肥南 合肥南 http://www.99118.com/huoche/zhan/hefeinan.htm
K8721 玉山 横峰 南昌 http://www.99118.com/huoche/zhan/hengfeng.htm
T212 深圳东 河源 上海南 http://www.99118.com/huoche/zhan/heyuan.htm
C6729 新塘南 洪梅 深圳机场 http://www.99118.com/huoche/zhan/HongMei.htm
K2665 临汾 侯马 苏州 http://www.99118.com/huoche/zhan/houma.htm
K2668 临汾 侯马 苏州 http://www.99118.com/huoche/zhan/houma.htm
Z77 北京西 怀化 贵阳 http://www.99118.com/huoche/zhan/huaihua.htm
