['D6926', '安达', '肇东']
['G7425', '合肥南', '巢湖东']
['C511', '长春', '农安']
['C5832', '白云西', '金阳']
['C344', '昆明', '楚雄']
['C345', '昆明', '楚雄']
['G1071', '北京南', '德州东']
['C5949', '毕节', '贵阳北']
['D2363', '南宁东', '宾阳']
['D3614', '广州南', '佛山西']
['C7463', '博鳌', '琼海']
['C7464', '博鳌', '琼海']
['C511', '长春', '农安']
['C511', '长春', '农安']
['C7102', '深圳', '平湖']
['K466', '宁波', '余姚']
['K467', '宁波', '余姚']
['G7425', '合肥南', '巢湖东']
['G3518', '承德南', '营口东']
['G3519', '承德南', '营口东']
['C6045', '成都南', '眉山东']
['C6046', '成都南', '眉山东']
['G7425', '合肥南', '巢湖东']
['C344', '昆明', '楚雄']
['C345', '昆明', '楚雄']
['C511', '长春', '农安']
['D2873', '大港南', '镇江']
['D2876', '大港南', '镇江']
['C344', '昆明', '楚雄']
['C345', '昆明', '楚雄']
['K466', '宁波', '余姚']
['K467', '宁波', '余姚']
['G1907', '银川', '吴忠']
['G1910', '银川', '吴忠']
['G7248', '上海', '苏州']
['G7249', '上海', '苏州']
['K938', '德惠', '扶余']
['K939', '德惠', '扶余']
['G7453', '德清', '杭州西']
['K605', '西安', '临潼']
['K608', '西安', '临潼']
['K606', '德清西', '芜湖']
['K607', '德清西', '芜湖']
['K466', '宁波', '余姚']
['K467', '宁波', '余姚']
['G1071', '北京南', '德州东']
['D2737', '定西北', '兰州西']
['T212', '深圳东', '东莞东']
['G6956', '董家口', '青岛西']
['G6957', '董家口', '青岛西']
['D6927', '杜尔伯特', '齐齐哈尔']
['D362', '恩施', '宜昌东']
['D1920', '西安西', '西安北']
['D3266', '枫林', '大冶北']
['D3614', '广州南', '佛山西']
['D2363', '南宁东', '宾阳']
['G7524', '阜宁东', '响水县']
['D385', '福清', '福州南']
['D388', '福清', '福州南']
['6056', '福生庄', '卓资山']
['K608', '西安', '临潼']
['K605', '西安', '临潼']
['K978', '扶余', '双城堡']
['K979', '扶余', '双城堡']
['D3148', '福州南', '莆田']
['D3145', '福州南', '莆田']
['K901', '赣州', '吉安']
['K904', '赣州', '吉安']
['T212', '深圳东', '东莞东']
['G1071', '北京南', '德州东']
['K605', '西安', '临潼']
['K608', '西安', '临潼']
['K605', '西安', '临潼']
['K608', '西安', '临潼']
['C7102', '深圳', '平湖']
['D3614', '广州南', '佛山西']
['C7644', '珠海', '小榄']
['D2363', '南宁东', '宾阳']
['D2815', '桂林西', '阳朔']
['D2363', '南宁东', '宾阳']
['D3614', '广州南', '佛山西']
['C5949', '毕节', '贵阳北']
['T212', '深圳东', '东莞东']
['G1577', '邯郸东', '鹤壁东']
['K605', '西安', '临潼']
['K608', '西安', '临潼']
['K466', '宁波', '余姚']
['K467', '宁波', '余姚']
['T212', '深圳东', '东莞东']
['K608', '西安', '临潼']
['K605', '西安', '临潼']
['K466', '宁波', '余姚']
['K467', '宁波', '余姚']
['G1978', '合肥南', '淮南南']
